id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,price,sellerId,city,country,state,zip
7211754,https://www.boattrader.com/listing/1995-cape-horn-27-cc-103671304/,power,power-saltfish,Cape Horn,27 CC,1995,new,27,,,2019-09-09T16:55:07.000Z,fiberglass,other,1,0,,,,43990,34959,Marrero,US,LA,70072
7007946,https://www.boattrader.com/listing/2018-centurion-ri-257-103522008/,power,power-skiwake,Centurion,RI 257,2018,used,25,,,2019-03-06T13:42:24.000Z,other,other,1,0,,,,122995,36812,Lake Orion,US,MI,48362
7135554,https://www.boattrader.com/listing/2013-bennington-2275rlcp-103616470/,power,power-pontoon,Bennington,2275RLCP,2013,used,22.04,8.06,,2019-07-02T11:28:47.000Z,aluminum,gasoline,1,0,,,outboard,39995,52808,Lewisville,US,TX,75067
7264022,https://www.boattrader.com/listing/2013-sea-doo-rxpx260-103710542/,power,power-pwc,Sea-Doo,RXPX260,2013,used,11,4,,2019-10-26T17:08:45.000Z,fiberglass,gasoline,1,0,,,,8995,45000,Conroe,US,TX,77301
7153248,https://www.boattrader.com/listing/1996-aquasport-200-103628572/,power,power-center,Aquasport,200,1996,new,20,,,2019-07-19T16:51:27.000Z,other,other,1,0,,,,9995,34959,Marrero,US,LA,70072
7136666,https://www.boattrader.com/listing/1996-sylvan-advantage-103617514/,power,power-pontoon,Sylvan,Advantage,1996,used,24,,,2019-07-02T16:52:12.000Z,other,other,1,0,,,,7900,34588,Johnson City,US,TN,37615
7270998,https://www.boattrader.com/listing/2006-crownline-ccr-270-103715142/,power,power-cuddy,Crownline,CCR 270,2006,used,27,,,2019-11-01T17:15:34.000Z,other,other,1,0,,,,50000,34367,Waterford,US,MI,48328
7250622,https://www.boattrader.com/listing/2007-manitou-20-osprey-103700483/,power,power-pontoon,Manitou,20 Osprey,2007,used,19,,,2019-10-15T05:37:12.000Z,aluminum,other,1,0,,,,13999,34414,Lake Ariel,US,PA,18436
7134206,https://www.boattrader.com/listing/2014-blazer-bass-boat-190-pro-v-103615448/,power,power-bass,Blazer,Bass Boat 190 Pro-V,2014,used,19,,,2019-07-01T16:55:18.000Z,fiberglass,other,1,0,,,,34000,12440,Southside,US,AL,35907
7051400,https://www.boattrader.com/listing/2011-sea-ray-300-slx-103555148/,power,power-bowrider,Sea Ray,300 SLX,2011,used,30,,,2019-04-16T19:37:45.000Z,fiberglass,other,1,0,,,,79995,229123,Rochester,US,NY,14609
7194009,https://www.boattrader.com/listing/2018-g3-guide-v12-103658446/,power,power-jon,G3,Guide V12,2018,new,12,,,2019-08-23T16:49:47.000Z,other,other,1,0,,,,2030,34437,Chepachet,US,RI,02814
7121175,https://www.boattrader.com/listing/2019-yamaha-boats-ar195-103606435/,power,power-skiwake,Yamaha Boats,AR195,2019,new,19,,,2019-06-19T16:55:43.000Z,other,other,1,0,,,,37999,35260,New York,US,NY,10980
7164810,https://www.boattrader.com/listing/2019-lexington-boats-519-103636501/,power,power-pontoon,Lexington Boats,519,2019,new,18,,,2019-07-30T17:04:54.000Z,other,other,1,0,,,,24990,161101,West Coxsackie,US,NY,12192
7116978,https://www.boattrader.com/listing/2019-skeeter-225-zx-103603398/,power,power-bass,Skeeter,225 Zx,2019,new,20,,,2019-06-15T16:55:33.000Z,other,other,1,0,,,,55259,61548,Young Harris,US,GA,30582
7227615,https://www.boattrader.com/listing/1998-cobalt-200-bowrider-103683460/,power,power-runabout,Cobalt,200 Bowrider,1998,used,19,,,2019-09-23T16:51:41.000Z,fiberglass,other,1,0,,,,9500,5052,Iowa City,US,IA,52240
6997350,https://www.boattrader.com/listing/2019-premier-sunsation-rf-250-103514526/,power,power-pontoon,Premier,SunSation-RF 250,2019,new,25,,,2019-02-23T18:58:46.000Z,aluminum,other,1,0,,,,59900,27677,Osage Beach,US,MO,65065
6977493,https://www.boattrader.com/listing/2019-bennington-23-sxp-103501908/,power,power-pontoon,Bennington,23 SXP,2019,new,23,,,2019-02-04T18:44:24.000Z,other,other,1,0,,,,49000,34588,Johnson City,US,TN,37615
7164951,https://www.boattrader.com/listing/2020-lexington-boats-321-103636566/,power,power-pontoon,Lexington Boats,321,2020,new,22,,,2019-07-30T17:05:12.000Z,other,other,1,0,,,,29990,164670,Ridgeland,US,SC,29936
7139486,https://www.boattrader.com/listing/2019-yamaha-jet-boat-sx-210-103619391/,power,power-jet,Yamaha Jet Boat,SX 210,2019,new,19.02,8,,2019-07-05T17:10:32.000Z,fiberglass,gasoline,1,0,,,,45899,52808,Lewisville,US,TX,75067
7103043,https://www.boattrader.com/listing/2019-stingray-206cc-103595127/,power,power-deck,Stingray,206cc,2019,new,20,,,2019-06-04T16:56:44.000Z,fiberglass,other,1,0,,,,43995,12440,Southside,US,AL,35907
7238081,https://www.boattrader.com/listing/2007-pro-line-23-sport-series-23-103692043/,power,power-center,Pro-Line,23 Sport Series 23,2007,used,23,,,2019-10-02T16:56:59.000Z,other,other,1,0,,,,29995,34959,Marrero,US,LA,70072
7253118,https://www.boattrader.com/listing/2018-malibu-24-mxz-103701952/,power,power-skiwake,Malibu,24 MXZ,2018,used,24,8.06,,2019-10-16T16:58:38.000Z,fiberglass,gasoline,1,0,,,v-drive,116995,47688,Buford,US,GA,30518
6867564,https://www.boattrader.com/listing/2005-bayliner-212-103430551/,power,power-cuddy,Bayliner,212,2005,used,21,,,2018-10-05T17:57:36.000Z,other,other,1,0,,,,14995,34959,Marrero,US,LA,70072
7164869,https://www.boattrader.com/listing/2019-lexington-boats-319-103636739/,power,power-pontoon,Lexington Boats,319,2019,new,20,,,2019-07-30T17:05:01.000Z,other,other,1,0,,,,22850,161101,West Coxsackie,US,NY,12192
7204500,https://www.boattrader.com/listing/2003-sylvan-820-mirage-103667304/,power,power-pontoon,Sylvan,820 Mirage,2003,used,20.03,8.06,,2019-09-04T07:04:43.000Z,aluminum,gasoline,1,0,,,outboard,12995,31870,Russells Point,US,OH,43348
7235034,https://www.boattrader.com/listing/2018-bryant-calandra-103688571/,power,power-skiwake,Bryant,Calandra,2018,used,23,,,2019-09-30T12:26:17.000Z,other,other,1,0,,,,69900,6492,Buford,US,GA,30518
7205384,https://www.boattrader.com/listing/2013-cobalt-262-wss-103667950/,power,power-bowrider,Cobalt,262 WSS,2013,used,27.7,8.06,,2019-09-04T17:21:27.000Z,fiberglass,gasoline,1,0,,,,75500,5130,Lewisville,US,TX,75077
7136066,https://www.boattrader.com/listing/2019-bennington-s-22ssr-103617054/,power,power-pontoon,Bennington,S 22SSR,2019,new,22.12,8.6,,2019-07-02T11:36:57.000Z,aluminum,gasoline,1,0,,,outboard,33980,31870,Russells Point,US,OH,43348
7202601,https://www.boattrader.com/listing/1997-sun-tracker-party-barge-103664641/,power,power-pontoon,Sun Tracker,Party Barge,1997,used,21,,,2019-09-02T16:55:35.000Z,other,other,1,0,,,,9995,34622,St Marks,US,FL,32355
7203879,https://www.boattrader.com/listing/2019-nauticstar-sport-deck-203-dc-103666906/,power,power-center,NauticStar,Sport Deck 203 DC,2019,new,20.04,8.05,,2019-09-03T14:48:33.000Z,fiberglass,gasoline,1,0,,,outboard,32995,45004,Seabrook,US,TX,77586
7145658,https://www.boattrader.com/listing/2012-crownline-boats-285ss-103623339/,power,power-bowrider,Crownline Boats,285SS,2012,used,28,8.06,,2019-07-12T09:08:11.000Z,fiberglass,gasoline,1,0,,,,59998,61725,Westover,US,AL,35185
7203762,https://www.boattrader.com/listing/2008-south-bay-925-cr-103666812/,power,power-pontoon,South Bay,925 Cr,2008,used,26,8.06,,2019-09-03T14:46:49.000Z,aluminum,gasoline,1,0,,,,25995,52808,Lewisville,US,TX,75067
6639834,https://www.boattrader.com/listing/1979-alumacraft-lunker-16-103264962/,power,power-fresh,Alumacraft,Lunker 16,1979,used,16,,,2018-03-07T21:32:51.000Z,aluminum,other,1,0,,,,1995,5525,Nekoosa,US,WI,54457
